Coureur,Équipe,Prix min
DEL TORO Isaac,UAE Team Emirates - XRG,40
MCNULTY Brandon,UAE Team Emirates - XRG,40
WELLENS Tim,UAE Team Emirates - XRG,40
VINE Jay,UAE Team Emirates - XRG,30
SIVAKOV Pavel,UAE Team Emirates - XRG,25
CHRISTEN Jan,UAE Team Emirates - XRG,12
NARVÁEZ Jhonatan,UAE Team Emirates - XRG,23
SOLER Marc,UAE Team Emirates - XRG,23
MORGADO António,UAE Team Emirates - XRG,11
GROßSCHARTNER Felix,UAE Team Emirates - XRG,14
MOLANO Juan Sebastián,UAE Team Emirates - XRG,18
COVI Alessandro,UAE Team Emirates - XRG,8
BARONCINI Filippo,UAE Team Emirates - XRG,5
VERMEERSCH Florian,UAE Team Emirates - XRG,15
CORT Magnus,Uno-X Mobility,23
KRISTOFF Alexander,Uno-X Mobility,19
WÆRENSKJOLD Søren,Uno-X Mobility,17
JOHANNESSEN Tobias Halland,Uno-X Mobility,16
DVERSNES Fredrik,Uno-X Mobility,15
HOELGAARD Markus,Uno-X Mobility,13
BLIKRA Erlend,Uno-X Mobility,12
LEKNESSUND Andreas,Uno-X Mobility,12
KULSET Johannes,Uno-X Mobility,10
JOHANNESSEN Anders Halland,Uno-X Mobility,9
FREDHEIM Stian,Uno-X Mobility,8
TILLER Rasmus,Uno-X Mobility,6
ABRAHAMSEN Jonas,Uno-X Mobility,6
ULISSI Diego,XDS Astana Team,11
FORTUNATO Lorenzo,XDS Astana Team,16
CHAMPOUSSIN Clément,XDS Astana Team,15
SCARONI Christian,XDS Astana Team,14
TEUNISSEN Mike,XDS Astana Team,13
LÓPEZ Harold Martín,XDS Astana Team,7
VELASCO Simone,XDS Astana Team,8
KANTER Max,XDS Astana Team,9
GATE Aaron,XDS Astana Team,10
MULUBRHAN Henok,XDS Astana Team,6
TEJADA Harold,XDS Astana Team,6
MALUCELLI Matteo,XDS Astana Team,6
POELS Wout,XDS Astana Team,10
BOL Cees,XDS Astana Team,6
HIGUITA Sergio,XDS Astana Team,11
BETTIOL Alberto,XDS Astana Team,15
FEDOROV Yevgeniy,XDS Astana Team,9
BALLERINI Davide,XDS Astana Team,13
MARTIN LOPEZ Harold,XDS Astana Team,4
BARGUIL Warren,Team Picnic PostNL,8
FLYNN Sean,Team Picnic PostNL,9
ROOSEN Timo,Team Picnic PostNL,4
ALLEGAERT Piet,Cofidis,3
COSTIOU Ewen,Arkéa - B&B Hotels,9
CAPIOT Amaury,Arkéa - B&B Hotels,4
GARCIA PIERNA Raul,Arkéa - B&B Hotels,2
GUERNALEC Thibault,Arkéa - B&B Hotels,7
LE BERRE,Arkéa - B&B Hotels,6
RONDEL Mathys,Tudor Pro Cycling Team,9
MAYRHOFER Marius,Tudor Pro Cycling Team,14
MONET Vincent,Dacker,100
DUBREUIL Pierre,Team esanté,100
